X,Y,lat,lon,PROFUNDIDA,CLASSES
-51,5,5.000000000000000,-51.000000000000000,-50 a -75 m,Faixa
-50.75,5.0,5.000000000000000,-50.750000000000000,-50 a -75 m,Faixa
-51.25,4.75,4.750000000000000,-51.250000000000000,-50 a -75 m,Faixa
-51.0,4.75,4.750000000000000,-51.000000000000000,-50 a -75 m,Faixa
-50.75,4.75,4.750000000000000,-50.750000000000000,-50 a -75 m,Faixa
-50.5,4.75,4.750000000000000,-50.500000000000000,-50 a -75 m,Faixa
-50.75,4.5,4.500000000000000,-50.750000000000000,-50 a -75 m,Faixa
-50.5,4.5,4.500000000000000,-50.500000000000000,-50 a -75 m,Faixa
-50.25,4.5,4.500000000000000,-50.250000000000000,-50 a -75 m,Faixa
-50.25,4.25,4.250000000000000,-50.250000000000000,-50 a -75 m,Faixa
-50.0,4.25,4.250000000000000,-50.000000000000000,-50 a -75 m,Faixa
-50,4,4.000000000000000,-50.000000000000000,-50 a -75 m,Faixa
-49.75,4.0,4.000000000000000,-49.750000000000000,-50 a -75 m,Faixa
-49.5,4.0,4.000000000000000,-49.500000000000000,-50 a -75 m,Faixa
-50.25,3.75,3.750000000000000,-50.250000000000000,-50 a -75 m,Faixa
-50.0,3.75,3.750000000000000,-50.000000000000000,-50 a -75 m,Faixa
-49.5,3.75,3.750000000000000,-49.500000000000000,-50 a -75 m,Faixa
-49.25,3.75,3.750000000000000,-49.250000000000000,-50 a -75 m,Faixa
-50.0,3.5,3.500000000000000,-50.000000000000000,-50 a -75 m,Faixa
-49.75,3.5,3.500000000000000,-49.750000000000000,-50 a -75 m,Faixa
-49.5,3.5,3.500000000000000,-49.500000000000000,-50 a -75 m,Faixa
-49.25,3.5,3.500000000000000,-49.250000000000000,-50 a -75 m,Faixa
-49.0,3.5,3.500000000000000,-49.000000000000000,-50 a -75 m,Faixa
-49.75,3.25,3.250000000000000,-49.750000000000000,-50 a -75 m,Faixa
-49.5,3.25,3.250000000000000,-49.500000000000000,-50 a -75 m,Faixa
-49.25,3.25,3.250000000000000,-49.250000000000000,-50 a -75 m,Faixa
-49.25,3.0,3.000000000000000,-49.250000000000000,-50 a -75 m,Faixa
-49,3,3.000000000000000,-49.000000000000000,-50 a -75 m,Faixa
-49.25,2.75,2.750000000000000,-49.250000000000000,-50 a -75 m,Faixa
-49.0,2.75,2.750000000000000,-49.000000000000000,-50 a -75 m,Faixa
-48.75,2.75,2.750000000000000,-48.750000000000000,-50 a -75 m,Faixa
-48.5,2.75,2.750000000000000,-48.500000000000000,-50 a -75 m,Faixa
-48.75,2.5,2.500000000000000,-48.750000000000000,-50 a -75 m,Faixa
-48.25,2.5,2.500000000000000,-48.250000000000000,-50 a -75 m,Faixa
-48.0,2.5,2.500000000000000,-48.000000000000000,-50 a -75 m,Faixa
-47.75,2.5,2.500000000000000,-47.750000000000000,-50 a -75 m,Faixa
-48.5,2.25,2.250000000000000,-48.500000000000000,-50 a -75 m,Faixa
-48.25,2.25,2.250000000000000,-48.250000000000000,-50 a -75 m,Faixa
-47.75,2.25,2.250000000000000,-47.750000000000000,-50 a -75 m,Faixa
-47.75,2.0,2.000000000000000,-47.750000000000000,-50 a -75 m,Faixa
-48.0,1.75,1.750000000000000,-48.000000000000000,-50 a -75 m,Faixa
-47.75,1.75,1.750000000000000,-47.750000000000000,-50 a -75 m,Faixa
-47.25,1.75,1.750000000000000,-47.250000000000000,-50 a -75 m,Faixa
-48.0,1.5,1.500000000000000,-48.000000000000000,-50 a -75 m,Faixa
-47.75,1.5,1.500000000000000,-47.750000000000000,-50 a -75 m,Faixa
-47.5,1.5,1.500000000000000,-47.500000000000000,-50 a -75 m,Faixa
-47.0,1.5,1.500000000000000,-47.000000000000000,-50 a -75 m,Faixa
-47.75,1.25,1.250000000000000,-47.750000000000000,-50 a -75 m,Faixa
-47.5,1.25,1.250000000000000,-47.500000000000000,-50 a -75 m,Faixa
-47.25,1.25,1.250000000000000,-47.250000000000000,-50 a -75 m,Faixa
-46.75,1.25,1.250000000000000,-46.750000000000000,-50 a -75 m,Faixa
-47.5,1.0,1.000000000000000,-47.500000000000000,-50 a -75 m,Faixa
-47,1,1.000000000000000,-47.000000000000000,-50 a -75 m,Faixa
-46.75,1.0,1.000000000000000,-46.750000000000000,-50 a -75 m,Faixa
-46.5,1.0,1.000000000000000,-46.500000000000000,-50 a -75 m,Faixa
-46.75,0.75,0.750000000000000,-46.750000000000000,-50 a -75 m,Faixa
-46.5,0.75,0.750000000000000,-46.500000000000000,-50 a -75 m,Faixa
-46.0,0.75,0.750000000000000,-46.000000000000000,-50 a -75 m,Faixa
-46.0,0.5,0.500000000000000,-46.000000000000000,-50 a -75 m,Faixa
-45.75,0.5,0.500000000000000,-45.750000000000000,-50 a -75 m,Faixa
-45.5,0.5,0.500000000000000,-45.500000000000000,-50 a -75 m,Faixa
-45.75,0.25,0.250000000000000,-45.750000000000000,-50 a -75 m,Faixa
-45.5,0.25,0.250000000000000,-45.500000000000000,-50 a -75 m,Faixa
-45.0,0.25,0.250000000000000,-45.000000000000000,-50 a -75 m,Faixa
-44.75,0.25,0.250000000000000,-44.750000000000000,-50 a -75 m,Faixa
-45.75,0.0,0.000000000000000,-45.750000000000000,-50 a -75 m,Faixa
-45.25,0.0,0.000000000000000,-45.250000000000000,-50 a -75 m,Faixa
-44.75,0.0,0.000000000000000,-44.750000000000000,-50 a -75 m,Faixa
-44.5,0.0,0.000000000000000,-44.500000000000000,-50 a -75 m,Faixa
-44.25,-0.25,-0.250000000000000,-44.250000000000000,-50 a -75 m,Faixa
-44.0,-0.5,-0.500000000000000,-44.000000000000000,-50 a -75 m,Faixa
-43.75,-0.75,-0.750000000000000,-43.750000000000000,-50 a -75 m,Faixa
-43.5,-1.25,-1.250000000000000,-43.500000000000000,-50 a -75 m,Faixa
-43.5,-1.5,-1.500000000000000,-43.500000000000000,-50 a -75 m,Faixa
-42.75,-2.0,-2.000000000000000,-42.750000000000000,-50 a -75 m,Faixa
-41.5,-2.25,-2.250000000000000,-41.500000000000000,-50 a -75 m,Faixa
-41.25,-2.25,-2.250000000000000,-41.250000000000000,-50 a -75 m,Faixa
-39.75,-2.25,-2.250000000000000,-39.750000000000000,-50 a -75 m,Faixa
-37.75,-3.75,-3.750000000000000,-37.750000000000000,-50 a -75 m,Faixa
-37.0,-4.5,-4.500000000000000,-37.000000000000000,-50 a -75 m,Faixa
-35.0,-5.25,-5.250000000000000,-35.000000000000000,-50 a -75 m,Faixa
-34.75,-6.5,-6.500000000000000,-34.750000000000000,-50 a -75 m,Faixa
-34.75,-8.5,-8.500000000000000,-34.750000000000000,-50 a -75 m,Faixa
-37.75,-18.0,-18.000000000000000,-37.750000000000000,-50 a -75 m,Faixa
-37.5,-18.0,-18.000000000000000,-37.500000000000000,-50 a -75 m,Faixa
-37.75,-18.25,-18.250000000000000,-37.750000000000000,-50 a -75 m,Faixa
-38.0,-18.5,-18.500000000000000,-38.000000000000000,-50 a -75 m,Faixa
-38.75,-18.75,-18.750000000000000,-38.750000000000000,-50 a -75 m,Faixa
-38.5,-18.75,-18.750000000000000,-38.500000000000000,-50 a -75 m,Faixa
-38.0,-18.75,-18.750000000000000,-38.000000000000000,-50 a -75 m,Faixa
-38,-19,-19.000000000000000,-38.000000000000000,-50 a -75 m,Faixa
-39.0,-19.25,-19.250000000000000,-39.000000000000000,-50 a -75 m,Faixa
-38.5,-19.25,-19.250000000000000,-38.500000000000000,-50 a -75 m,Faixa
-38.0,-19.25,-19.250000000000000,-38.000000000000000,-50 a -75 m,Faixa
-39.25,-19.5,-19.500000000000000,-39.250000000000000,-50 a -75 m,Faixa
-39.0,-19.5,-19.500000000000000,-39.000000000000000,-50 a -75 m,Faixa
-38.75,-19.5,-19.500000000000000,-38.750000000000000,-50 a -75 m,Faixa
-38.5,-19.5,-19.500000000000000,-38.500000000000000,-50 a -75 m,Faixa
-40.0,-20.5,-20.500000000000000,-40.000000000000000,-50 a -75 m,Faixa
-40.25,-21.5,-21.500000000000000,-40.250000000000000,-50 a -75 m,Faixa
-40.25,-21.75,-21.750000000000000,-40.250000000000000,-50 a -75 m,Faixa
-40.25,-22.0,-22.000000000000000,-40.250000000000000,-50 a -75 m,Faixa
-40.75,-22.25,-22.250000000000000,-40.750000000000000,-50 a -75 m,Faixa
-40.5,-22.25,-22.250000000000000,-40.500000000000000,-50 a -75 m,Faixa
-41.0,-22.5,-22.500000000000000,-41.000000000000000,-50 a -75 m,Faixa
-40.75,-22.5,-22.500000000000000,-40.750000000000000,-50 a -75 m,Faixa
-41.5,-22.75,-22.750000000000000,-41.500000000000000,-50 a -75 m,Faixa
-41.25,-22.75,-22.750000000000000,-41.250000000000000,-50 a -75 m,Faixa
-41.0,-22.75,-22.750000000000000,-41.000000000000000,-50 a -75 m,Faixa
-42.5,-23.0,-23.000000000000000,-42.500000000000000,-50 a -75 m,Faixa
-42.25,-23.0,-23.000000000000000,-42.250000000000000,-50 a -75 m,Faixa
-41.75,-23.0,-23.000000000000000,-41.750000000000000,-50 a -75 m,Faixa
-41.5,-23.0,-23.000000000000000,-41.500000000000000,-50 a -75 m,Faixa
-41.25,-23.0,-23.000000000000000,-41.250000000000000,-50 a -75 m,Faixa
-43.75,-23.25,-23.250000000000000,-43.750000000000000,-50 a -75 m,Faixa
-43.5,-23.25,-23.250000000000000,-43.500000000000000,-50 a -75 m,Faixa
-43.25,-23.25,-23.250000000000000,-43.250000000000000,-50 a -75 m,Faixa
-43.0,-23.25,-23.250000000000000,-43.000000000000000,-50 a -75 m,Faixa
-42.75,-23.25,-23.250000000000000,-42.750000000000000,-50 a -75 m,Faixa
-41.25,-23.25,-23.250000000000000,-41.250000000000000,-50 a -75 m,Faixa
-44.5,-23.5,-23.500000000000000,-44.500000000000000,-50 a -75 m,Faixa
-44.25,-23.5,-23.500000000000000,-44.250000000000000,-50 a -75 m,Faixa
-44.0,-23.5,-23.500000000000000,-44.000000000000000,-50 a -75 m,Faixa
-43.75,-23.5,-23.500000000000000,-43.750000000000000,-50 a -75 m,Faixa
-44.75,-23.75,-23.750000000000000,-44.750000000000000,-50 a -75 m,Faixa
-44.5,-23.75,-23.750000000000000,-44.500000000000000,-50 a -75 m,Faixa
-44.25,-23.75,-23.750000000000000,-44.250000000000000,-50 a -75 m,Faixa
-45.25,-24.0,-24.000000000000000,-45.250000000000000,-50 a -75 m,Faixa
-45,-24,-24.000000000000000,-45.000000000000000,-50 a -75 m,Faixa
-45.75,-24.25,-24.250000000000000,-45.750000000000000,-50 a -75 m,Faixa
-45.5,-24.25,-24.250000000000000,-45.500000000000000,-50 a -75 m,Faixa
-45.25,-24.25,-24.250000000000000,-45.250000000000000,-50 a -75 m,Faixa
-45.0,-24.25,-24.250000000000000,-45.000000000000000,-50 a -75 m,Faixa
-46.0,-24.5,-24.500000000000000,-46.000000000000000,-50 a -75 m,Faixa
-45.75,-24.5,-24.500000000000000,-45.750000000000000,-50 a -75 m,Faixa
-45.5,-24.5,-24.500000000000000,-45.500000000000000,-50 a -75 m,Faixa
-45.25,-24.5,-24.500000000000000,-45.250000000000000,-50 a -75 m,Faixa
-46.5,-24.75,-24.750000000000000,-46.500000000000000,-50 a -75 m,Faixa
-46.25,-24.75,-24.750000000000000,-46.250000000000000,-50 a -75 m,Faixa
-46.0,-24.75,-24.750000000000000,-46.000000000000000,-50 a -75 m,Faixa
-45.75,-24.75,-24.750000000000000,-45.750000000000000,-50 a -75 m,Faixa
-45.25,-24.75,-24.750000000000000,-45.250000000000000,-50 a -75 m,Faixa
-46.5,-25.0,-25.000000000000000,-46.500000000000000,-50 a -75 m,Faixa
-46.25,-25.0,-25.000000000000000,-46.250000000000000,-50 a -75 m,Faixa
-46,-25,-25.000000000000000,-46.000000000000000,-50 a -75 m,Faixa
-45.75,-25.0,-25.000000000000000,-45.750000000000000,-50 a -75 m,Faixa
-45.5,-25.0,-25.000000000000000,-45.500000000000000,-50 a -75 m,Faixa
-47.0,-25.25,-25.250000000000000,-47.000000000000000,-50 a -75 m,Faixa
-46.75,-25.25,-25.250000000000000,-46.750000000000000,-50 a -75 m,Faixa
-46.5,-25.25,-25.250000000000000,-46.500000000000000,-50 a -75 m,Faixa
