,lon,lat
0,-30.39011879049676,-30.39011879049676
1,-30.39011879049676,-30.40523758099352
2,-30.39011879049676,-30.420356371490282
3,-30.39011879049676,-30.435475161987043
4,-30.39011879049676,-30.450593952483803
5,-30.39011879049676,-30.465712742980564
6,-30.39011879049676,-30.480831533477325
7,-30.39011879049676,-30.495950323974085
8,-30.39011879049676,-30.511069114470846
9,-30.39011879049676,-30.526187904967607
10,-30.39011879049676,-30.541306695464367
11,-30.39011879049676,-30.556425485961128
12,-30.39011879049676,-30.57154427645789
13,-30.39011879049676,-30.58666306695465
14,-30.39011879049676,-30.60178185745141
15,-30.39011879049676,-30.61690064794817
16,-30.40523758099352,-30.39011879049676
17,-30.40523758099352,-30.40523758099352
18,-30.40523758099352,-30.420356371490282
19,-30.40523758099352,-30.435475161987043
20,-30.40523758099352,-30.450593952483803
21,-30.40523758099352,-30.465712742980564
22,-30.40523758099352,-30.480831533477325
23,-30.40523758099352,-30.495950323974085
24,-30.40523758099352,-30.511069114470846
25,-30.40523758099352,-30.526187904967607
26,-30.40523758099352,-30.541306695464367
27,-30.40523758099352,-30.556425485961128
28,-30.40523758099352,-30.57154427645789
29,-30.40523758099352,-30.58666306695465
30,-30.40523758099352,-30.60178185745141
31,-30.40523758099352,-30.61690064794817
32,-30.420356371490282,-30.39011879049676
33,-30.420356371490282,-30.40523758099352
34,-30.420356371490282,-30.420356371490282
35,-30.420356371490282,-30.435475161987043
36,-30.420356371490282,-30.450593952483803
37,-30.420356371490282,-30.465712742980564
38,-30.420356371490282,-30.480831533477325
39,-30.420356371490282,-30.495950323974085
40,-30.420356371490282,-30.511069114470846
41,-30.420356371490282,-30.526187904967607
42,-30.420356371490282,-30.541306695464367
43,-30.420356371490282,-30.556425485961128
44,-30.420356371490282,-30.57154427645789
45,-30.420356371490282,-30.58666306695465
46,-30.420356371490282,-30.60178185745141
47,-30.420356371490282,-30.61690064794817
48,-30.435475161987043,-30.39011879049676
49,-30.435475161987043,-30.40523758099352
50,-30.435475161987043,-30.420356371490282
51,-30.435475161987043,-30.435475161987043
52,-30.435475161987043,-30.450593952483803
53,-30.435475161987043,-30.465712742980564
54,-30.435475161987043,-30.480831533477325
55,-30.435475161987043,-30.495950323974085
56,-30.435475161987043,-30.511069114470846
57,-30.435475161987043,-30.526187904967607
58,-30.435475161987043,-30.541306695464367
59,-30.435475161987043,-30.556425485961128
60,-30.435475161987043,-30.57154427645789
61,-30.435475161987043,-30.58666306695465
62,-30.435475161987043,-30.60178185745141
63,-30.435475161987043,-30.61690064794817
64,-30.450593952483803,-30.39011879049676
65,-30.450593952483803,-30.40523758099352
66,-30.450593952483803,-30.420356371490282
67,-30.450593952483803,-30.435475161987043
68,-30.450593952483803,-30.450593952483803
69,-30.450593952483803,-30.465712742980564
70,-30.450593952483803,-30.480831533477325
71,-30.450593952483803,-30.495950323974085
72,-30.450593952483803,-30.511069114470846
