,lon,lat
272,-49.75,-34.25
273,-49.75,-34.0
274,-49.75,-33.75
275,-49.75,-33.5
276,-49.75,-33.25
277,-49.75,-33.0
278,-49.75,-32.75
279,-49.75,-32.5
280,-49.75,-32.25
281,-49.75,-32.0
282,-49.75,-31.75
283,-49.75,-31.5
284,-49.75,-31.25
285,-49.75,-31.0
286,-49.75,-30.75
287,-49.75,-30.5
288,-49.75,-30.25
289,-49.75,-30.0
290,-49.75,-29.75
291,-49.75,-29.5
292,-49.75,0.25
293,-49.75,0.5
294,-49.75,0.75
295,-49.75,1.0
296,-49.75,1.25
297,-49.75,1.5
298,-49.75,1.75
299,-49.75,2.0
300,-49.75,2.25
301,-49.75,2.5
302,-49.75,2.75
303,-49.75,3.0
304,-49.75,3.25
305,-49.75,3.5
306,-49.75,3.75
307,-49.75,4.0
308,-49.75,4.25
309,-49.75,4.5
310,-49.75,4.75
311,-49.75,5.0
312,-49.75,5.25
313,-49.75,5.5
314,-49.75,5.75
315,-49.75,6.0
316,-49.75,6.25
317,-49.75,6.5
318,-49.5,-35.0
319,-49.5,-34.75
320,-49.5,-34.5
321,-49.5,-34.25
322,-49.5,-34.0
323,-49.5,-33.75
324,-49.5,-33.5
325,-49.5,-33.25
326,-49.5,-33.0
327,-49.5,-32.75
328,-49.5,-32.5
329,-49.5,-32.25
330,-49.5,-32.0
331,-49.5,-31.75
332,-49.5,-31.5
333,-49.5,-31.25
334,-49.5,-31.0
335,-49.5,-30.75
336,-49.5,-30.5
337,-49.5,-30.25
338,-49.5,-30.0
339,-49.5,-29.75
340,-49.5,-29.5
341,-49.5,-29.25
342,-49.5,0.5
343,-49.5,0.75
344,-49.5,1.0
345,-49.5,1.25
346,-49.5,1.5
347,-49.5,1.75
348,-49.5,2.0
349,-49.5,2.25
350,-49.5,2.5
351,-49.5,2.75
352,-49.5,3.0
353,-49.5,3.25
354,-49.5,3.5
355,-49.5,3.75
356,-49.5,4.0
357,-49.5,4.25
358,-49.5,4.5
359,-49.5,4.75
360,-49.5,5.0
361,-49.5,5.25
362,-49.5,5.5
363,-49.5,5.75
364,-49.5,6.0
365,-49.5,6.25
366,-49.5,6.5
367,-49.5,6.75
368,-49.25,-34.75
369,-49.25,-34.5
370,-49.25,-34.25
371,-49.25,-34.0
372,-49.25,-33.75
373,-49.25,-33.5
374,-49.25,-33.25
375,-49.25,-33.0
376,-49.25,-32.75
377,-49.25,-32.5
378,-49.25,-32.25
379,-49.25,-32.0
380,-49.25,-31.75
381,-49.25,-31.5
382,-49.25,-31.25
383,-49.25,-31.0
384,-49.25,-30.75
385,-49.25,-30.5
386,-49.25,-30.25
387,-49.25,-30.0
388,-49.25,-29.75
389,-49.25,-29.5
390,-49.25,-29.25
391,-49.25,-29.0
392,-49.25,-13.0
393,-49.25,0.25
394,-49.25,0.5
395,-49.25,0.75
396,-49.25,1.0
397,-49.25,1.25
398,-49.25,1.5
399,-49.25,1.75
400,-49.25,2.0
401,-49.25,2.25
402,-49.25,2.5
403,-49.25,2.75
404,-49.25,3.0
405,-49.25,3.25
406,-49.25,3.5
407,-49.25,3.75
408,-49.25,4.0
409,-49.25,4.25
410,-49.25,4.5
411,-49.25,4.75
412,-49.25,5.0
413,-49.25,5.25
414,-49.25,5.5
415,-49.25,5.75
416,-49.25,6.0
417,-49.25,6.25
418,-49.25,6.5
419,-49.25,6.75
420,-49.0,-34.25
421,-49.0,-34.0
422,-49.0,-33.75
423,-49.0,-33.5
424,-49.0,-33.25
425,-49.0,-33.0
426,-49.0,-32.75
427,-49.0,-32.5
428,-49.0,-32.25
429,-49.0,-32.0
430,-49.0,-31.75
431,-49.0,-31.5
432,-49.0,-31.25
433,-49.0,-31.0
434,-49.0,-30.75
435,-49.0,-30.5
436,-49.0,-30.25
437,-49.0,-30.0
438,-49.0,-29.75
439,-49.0,-29.5
440,-49.0,-29.25
441,-49.0,-29.0
442,-49.0,-28.75
443,-49.0,0.25
444,-49.0,0.5
445,-49.0,0.75
446,-49.0,1.0
447,-49.0,1.25
448,-49.0,1.5
449,-49.0,1.75
450,-49.0,2.0
451,-49.0,2.25
452,-49.0,2.5
453,-49.0,2.75
454,-49.0,3.0
455,-49.0,3.25
456,-49.0,3.5
457,-49.0,3.75
458,-49.0,4.0
459,-49.0,4.25
460,-49.0,4.5
461,-49.0,4.75
462,-49.0,5.0
463,-49.0,5.25
464,-49.0,5.5
465,-49.0,5.75
466,-49.0,6.0
467,-49.0,6.25
468,-49.0,6.5
469,-48.75,-34.0
470,-48.75,-33.75
471,-48.75,-33.5
472,-48.75,-33.25
473,-48.75,-33.0
474,-48.75,-32.75
475,-48.75,-32.5
476,-48.75,-32.25
477,-48.75,-32.0
478,-48.75,-31.75
479,-48.75,-31.5
480,-48.75,-31.25
481,-48.75,-31.0
482,-48.75,-30.75
483,-48.75,-30.5
484,-48.75,-30.25
485,-48.75,-30.0
486,-48.75,-29.75
487,-48.75,-29.5
488,-48.75,-29.25
489,-48.75,-29.0
490,-48.75,-28.75
491,-48.75,-28.25
492,-48.75,-28.0
493,-48.75,-27.75
494,-48.75,0.25
495,-48.75,0.5
496,-48.75,0.75
497,-48.75,1.0
498,-48.75,1.25
499,-48.75,1.5
500,-48.75,1.75
501,-48.75,2.0
502,-48.75,2.25
503,-48.75,2.5
504,-48.75,2.75
505,-48.75,3.0
506,-48.75,3.25
507,-48.75,3.5
508,-48.75,3.75
509,-48.75,4.0
510,-48.75,4.25
511,-48.75,4.5
512,-48.75,4.75
513,-48.75,5.0
514,-48.75,5.25
515,-48.75,5.5
516,-48.75,5.75
517,-48.75,6.0
518,-48.75,6.25
519,-48.5,-33.75
520,-48.5,-33.5
521,-48.5,-33.25
522,-48.5,-33.0
523,-48.5,-32.75
524,-48.5,-32.5
525,-48.5,-32.25
526,-48.5,-32.0
527,-48.5,-31.75
528,-48.5,-31.5
529,-48.5,-31.25
530,-48.5,-31.0
531,-48.5,-30.75
532,-48.5,-30.5
533,-48.5,-30.25
534,-48.5,-30.0
535,-48.5,-29.75
536,-48.5,-29.5
537,-48.5,-29.25
538,-48.5,-29.0
539,-48.5,-28.75
540,-48.5,-28.5
541,-48.5,-28.25
542,-48.5,-28.0
543,-48.5,-27.5
544,-48.5,-27.0
545,-48.5,-26.75
546,-48.5,-26.5
547,-48.5,-26.0
548,-48.5,0.0
549,-48.5,0.25
550,-48.5,0.5
551,-48.5,0.75
552,-48.5,1.0
553,-48.5,1.25
554,-48.5,1.5
555,-48.5,1.75
556,-48.5,2.0
557,-48.5,2.25
558,-48.5,2.5
559,-48.5,2.75
560,-48.5,3.0
561,-48.5,3.25
562,-48.5,3.5
563,-48.5,3.75
564,-48.5,4.0
565,-48.5,4.25
566,-48.5,4.5
567,-48.5,4.75
568,-48.5,5.0
569,-48.5,5.25
570,-48.5,5.5
571,-48.5,5.75
572,-48.5,6.0
573,-48.25,-33.5
574,-48.25,-33.25
575,-48.25,-33.0
576,-48.25,-32.75
577,-48.25,-32.5
578,-48.25,-32.25
579,-48.25,-32.0
580,-48.25,-31.75
581,-48.25,-31.5
582,-48.25,-31.25
583,-48.25,-31.0
584,-48.25,-30.75
585,-48.25,-30.5
586,-48.25,-30.25
587,-48.25,-30.0
588,-48.25,-29.75
589,-48.25,-29.5
590,-48.25,-29.25
591,-48.25,-29.0
592,-48.25,-28.75
593,-48.25,-28.5
594,-48.25,-28.25
595,-48.25,-28.0
596,-48.25,-27.75
597,-48.25,-27.5
598,-48.25,-27.25
