,lon,lat
271,-45.5,-25.25
272,-45.5,-24.75
273,-45.5,-24.25
274,-45.5,0.75
275,-45.25,-26.75
276,-45.25,-26.5
277,-45.25,-26.25
278,-45.25,-26.0
279,-45.25,-25.75
280,-45.25,-25.5
281,-45.25,-25.25
282,-45.25,-25.0
283,-45.25,-24.0
284,-45.25,0.0
285,-45.25,0.25
286,-45.25,0.5
287,-45.25,0.75
288,-45.0,-26.25
289,-45.0,-26.0
290,-45.0,-25.75
291,-45.0,-25.5
292,-45.0,-25.25
293,-45.0,-25.0
294,-45.0,-24.75
295,-45.0,-24.5
296,-45.0,-24.0
297,-45.0,0.0
298,-45.0,0.25
299,-45.0,0.5
300,-44.75,-26.0
301,-44.75,-25.75
302,-44.75,-25.5
303,-44.75,-25.25
304,-44.75,-25.0
305,-44.75,-24.75
306,-44.75,-24.5
307,-44.75,-24.25
308,-44.75,-23.75
309,-44.75,0.0
310,-44.5,-25.75
311,-44.5,-25.5
312,-44.5,-25.25
313,-44.5,-25.0
314,-44.5,-24.75
315,-44.5,-24.5
316,-44.5,-24.25
317,-44.5,-24.0
318,-44.5,-23.75
319,-44.5,-23.5
320,-44.5,0.25
321,-44.25,-25.5
322,-44.25,-25.25
323,-44.25,-25.0
324,-44.25,-24.75
325,-44.25,-24.5
326,-44.25,-24.25
327,-44.25,-24.0
328,-44.25,-23.5
329,-44.25,0.0
330,-44.0,-25.25
331,-44.0,-25.0
332,-44.0,-24.75
333,-44.0,-24.5
334,-44.0,-24.25
335,-44.0,-24.0
336,-44.0,-23.75
337,-44.0,-0.25
338,-43.75,-25.0
339,-43.75,-24.75
340,-43.75,-24.5
341,-43.75,-24.25
342,-43.75,-24.0
343,-43.75,-23.75
344,-43.75,-23.25
345,-43.75,-0.5
346,-43.75,-0.25
347,-43.5,-24.75
348,-43.5,-24.5
349,-43.5,-24.25
350,-43.5,-24.0
351,-43.5,-23.75
352,-43.5,-23.5
353,-43.5,-23.25
354,-43.5,-1.5
355,-43.5,-1.25
356,-43.5,-1.0
357,-43.5,-0.75
358,-43.5,-0.5
359,-43.25,-24.5
360,-43.25,-24.25
361,-43.25,-24.0
362,-43.25,-23.75
363,-43.25,-23.5
364,-43.25,-23.25
365,-43.25,-1.5
366,-43.25,-1.25
367,-43.25,-1.0
368,-43.25,-0.75
369,-43.0,-24.25
370,-43.0,-24.0
371,-43.0,-23.75
372,-43.0,-23.5
373,-43.0,-23.25
374,-43.0,-1.75
375,-43.0,-1.5
376,-43.0,-1.25
377,-43.0,-1.0
378,-43.0,-0.75
379,-42.75,-24.0
380,-42.75,-23.75
381,-42.75,-23.5
382,-42.75,-2.0
383,-42.75,-1.75
384,-42.75,-1.5
385,-42.75,-1.25
386,-42.75,-1.0
387,-42.5,-23.75
388,-42.5,-23.5
389,-42.5,-23.25
390,-42.5,-23.0
391,-42.5,-2.0
392,-42.5,-1.75
393,-42.5,-1.5
394,-42.5,-1.25
395,-42.5,-1.0
396,-42.25,-23.5
397,-42.25,-23.25
398,-42.25,-23.0
399,-42.25,-2.0
400,-42.25,-1.75
401,-42.25,-1.5
402,-42.25,-1.25
403,-42.0,-2.0
404,-42.0,-1.75
405,-42.0,-1.5
406,-41.75,-23.0
407,-41.75,-2.0
408,-41.75,-1.75
409,-41.75,-1.5
410,-41.5,-23.0
411,-41.5,-22.75
412,-41.5,-2.25
413,-41.5,-2.0
414,-41.5,-1.75
415,-41.25,-23.25
416,-41.25,-22.75
417,-41.25,-2.25
418,-41.25,-2.0
419,-41.0,-22.75
420,-41.0,-22.5
421,-41.0,-22.25
422,-41.0,-2.0
423,-40.75,-22.5
424,-40.75,-22.0
425,-40.75,-21.75
426,-40.75,-21.5
427,-40.5,-22.25
428,-40.5,-22.0
429,-40.5,-21.75
430,-40.5,-21.5
431,-40.5,-21.25
432,-40.5,-21.0
433,-40.5,-20.75
434,-40.5,-20.5
435,-40.25,-22.0
436,-40.25,-21.75
437,-40.25,-21.25
438,-40.25,-21.0
439,-40.25,-20.75
440,-40.25,-20.5
441,-40.25,-20.25
442,-40.25,-20.0
443,-40.25,-19.75
444,-40.0,-20.25
445,-40.0,-20.0
446,-40.0,-19.75
447,-40.0,-19.5
448,-40.0,-19.25
449,-40.0,-19.0
450,-40.0,-18.75
451,-39.75,-19.75
452,-39.75,-19.5
453,-39.75,-19.25
454,-39.75,-19.0
455,-39.75,-18.75
456,-39.75,-18.5
457,-39.75,-18.25
458,-39.75,-18.0
459,-39.75,-2.25
460,-39.5,-19.5
461,-39.5,-19.25
462,-39.5,-19.0
463,-39.5,-18.75
464,-39.5,-18.5
465,-39.5,-18.25
466,-39.5,-18.0
467,-39.5,-17.75
468,-39.5,-17.5
469,-39.5,-17.25
470,-39.25,-19.25
471,-39.25,-19.0
472,-39.25,-18.75
473,-39.25,-18.5
474,-39.25,-18.25
475,-39.25,-18.0
476,-39.25,-17.75
477,-39.25,-17.5
478,-39.25,-17.25
479,-39.25,-17.0
480,-39.25,-16.75
481,-39.25,-16.5
482,-39.25,-16.25
483,-39.0,-19.5
484,-39.0,-19.0
485,-39.0,-18.75
486,-39.0,-18.5
487,-39.0,-18.25
488,-39.0,-18.0
489,-39.0,-17.75
490,-39.0,-17.5
491,-39.0,-17.25
492,-39.0,-17.0
493,-39.0,-16.75
494,-39.0,-16.5
495,-39.0,-16.25
496,-39.0,-16.0
497,-39.0,-15.75
498,-39.0,-15.5
499,-38.75,-19.25
500,-38.75,-18.5
501,-38.75,-18.25
502,-38.75,-18.0
503,-38.75,-17.75
504,-38.75,-17.5
505,-38.75,-17.25
506,-38.75,-17.0
507,-38.75,-16.75
508,-38.75,-16.5
509,-38.75,-16.25
510,-38.75,-16.0
511,-38.75,-15.75
512,-38.75,-15.5
513,-38.75,-15.25
514,-38.75,-15.0
515,-38.75,-14.75
516,-38.75,-14.5
517,-38.75,-14.25
518,-38.75,-14.0
519,-38.75,-13.75
520,-38.5,-19.5
521,-38.5,-19.0
522,-38.5,-18.5
523,-38.5,-18.25
524,-38.5,-18.0
525,-38.5,-17.75
526,-38.5,-17.5
527,-38.5,-17.25
528,-38.5,-17.0
529,-38.5,-16.75
530,-38.5,-16.5
531,-38.5,-16.25
532,-38.5,-16.0
533,-38.5,-15.75
534,-38.5,-13.5
535,-38.5,-13.25
536,-38.25,-19.25
537,-38.25,-19.0
538,-38.25,-18.75
539,-38.25,-18.5
540,-38.25,-18.25
541,-38.25,-18.0
542,-38.25,-17.75
543,-38.25,-17.5
544,-38.25,-17.25
545,-38.25,-17.0
546,-38.25,-16.75
547,-38.0,-19.25
548,-38.0,-18.25
549,-38.0,-18.0
550,-38.0,-17.75
551,-38.0,-17.5
552,-38.0,-12.5
553,-38.0,-12.25
554,-38.0,-3.5
555,-37.75,-18.25
556,-37.75,-12.25
557,-37.75,-12.0
558,-37.75,-11.75
559,-37.75,-11.5
560,-37.5,-18.0
561,-37.5,-12.0
562,-37.5,-11.75
563,-37.5,-11.5
564,-37.5,-11.25
565,-37.5,-11.0
566,-37.5,-3.75
567,-37.25,-11.75
568,-37.25,-11.5
569,-37.25,-11.25
570,-37.25,-11.0
571,-37.25,-10.75
572,-37.25,-10.5
573,-37.25,-10.25
574,-37.25,-4.0
575,-37.0,-11.5
576,-37.0,-11.25
577,-37.0,-11.0
578,-37.0,-10.75
579,-37.0,-10.5
580,-37.0,-10.25
581,-37.0,-10.0
582,-37.0,-9.75
583,-37.0,-9.5
584,-37.0,-4.5
585,-37.0,-4.25
586,-37.0,-4.0
587,-36.75,-11.0
588,-36.75,-10.75
589,-36.75,-10.5
590,-36.75,-10.25
591,-36.75,-10.0
592,-36.75,-9.75
593,-36.75,-9.5
594,-36.75,-9.25
595,-36.75,-9.0
596,-36.75,-4.5
597,-36.75,-4.25
598,-36.5,-10.75
599,-36.5,-10.5
600,-36.5,-10.25
601,-36.5,-10.0
602,-36.5,-9.75
603,-36.5,-9.5
604,-36.5,-9.25
605,-36.5,-9.0
606,-36.5,-8.75
607,-36.5,-8.5
608,-36.5,-8.25
609,-36.5,-4.75
610,-36.5,-4.5
611,-36.5,-4.25
612,-36.25,-10.5
613,-36.25,-10.25
614,-36.25,-10.0
615,-36.25,-9.75
616,-36.25,-9.5
617,-36.25,-9.25
618,-36.25,-9.0
619,-36.25,-8.75
620,-36.25,-8.5
621,-36.25,-8.25
622,-36.25,-8.0
623,-36.25,-7.75
624,-36.25,-7.5
625,-36.25,-4.75
626,-36.25,-4.5
627,-36.0,-10.25
628,-36.0,-10.0
629,-36.0,-9.75
630,-36.0,-9.5
631,-36.0,-9.25
632,-36.0,-9.0
633,-36.0,-8.75
634,-36.0,-8.5
635,-36.0,-8.25
636,-36.0,-8.0
637,-36.0,-7.75
638,-36.0,-7.5
639,-36.0,-7.25
640,-36.0,-7.0
641,-36.0,-6.75
642,-36.0,-4.75
643,-36.0,-4.5
644,-35.75,-10.0
645,-35.75,-9.75
646,-35.75,-9.5
647,-35.75,-9.25
648,-35.75,-9.0
649,-35.75,-8.75
650,-35.75,-8.5
651,-35.75,-8.25
652,-35.75,-8.0
653,-35.75,-7.75
654,-35.75,-7.5
655,-35.75,-7.25
656,-35.75,-7.0
657,-35.75,-6.75
658,-35.75,-6.5
659,-35.75,-6.25
660,-35.75,-4.75
661,-35.5,-9.75
662,-35.5,-9.5
663,-35.5,-9.25
664,-35.5,-9.0
665,-35.5,-8.75
666,-35.5,-8.5
667,-35.5,-8.25
668,-35.5,-8.0
669,-35.5,-7.75
670,-35.5,-7.5
671,-35.5,-7.25
672,-35.5,-7.0
673,-35.5,-6.75
674,-35.5,-6.5
675,-35.5,-6.25
676,-35.5,-6.0
677,-35.5,-5.75
678,-35.5,-5.5
679,-35.5,-4.75
680,-35.25,-9.5
681,-35.25,-9.25
682,-35.25,-9.0
683,-35.25,-8.75
684,-35.25,-8.5
685,-35.25,-8.25
686,-35.25,-8.0
687,-35.25,-7.75
688,-35.25,-7.5
689,-35.25,-7.25
690,-35.25,-7.0
691,-35.25,-6.75
692,-35.25,-6.5
693,-35.25,-6.25
694,-35.25,-6.0
695,-35.25,-5.75
696,-35.25,-5.5
697,-35.25,-5.25
698,-35.25,-5.0
699,-35.0,-9.25
700,-35.0,-9.0
701,-35.0,-8.75
702,-35.0,-8.5
703,-35.0,-8.25
704,-35.0,-8.0
705,-35.0,-7.75
706,-35.0,-7.5
707,-35.0,-7.25
708,-35.0,-7.0
709,-35.0,-6.75
710,-35.0,-6.5
711,-35.0,-6.25
712,-35.0,-6.0
713,-35.0,-5.75
714,-35.0,-5.5
715,-35.0,-5.25
716,-34.75,-8.25
717,-34.75,-8.0
718,-34.75,-7.75
719,-34.75,-7.5
720,-34.75,-7.25
721,-34.75,-7.0
722,-34.75,-6.75
