,lon,lat
0,-52.0,-34.5
1,-52.0,-34.25
2,-51.75,-34.5
3,-51.5,-34.25
4,-51.0,-33.75
5,-51.0,-33.5
6,-51.0,4.75
7,-50.75,-33.5
8,-50.75,-33.25
9,-50.75,4.75
10,-50.75,5.0
11,-50.5,-33.5
12,-50.5,-33.25
13,-50.5,-33.0
14,-50.5,-32.75
15,-50.5,-32.5
16,-50.5,4.5
17,-50.5,4.75
18,-50.25,-33.25
19,-50.25,-33.0
20,-50.25,-32.75
21,-50.25,-31.25
22,-50.25,4.25
23,-50.25,4.5
24,-50.0,-33.25
25,-50.0,-32.25
26,-50.0,-31.25
27,-50.0,-31.0
28,-50.0,4.25
29,-50.0,4.75
30,-49.75,-32.0
31,-49.75,-31.75
32,-49.75,-30.75
33,-49.75,4.0
34,-49.75,4.5
35,-49.5,-31.75
36,-49.5,-31.5
37,-49.5,-30.75
38,-49.5,-30.5
39,-49.5,3.75
40,-49.5,4.0
41,-49.25,-31.5
42,-49.25,-31.25
43,-49.25,-30.75
44,-49.25,-30.25
45,-49.25,3.5
46,-49.25,3.75
47,-49.25,4.25
48,-49.0,-31.25
49,-49.0,-31.0
50,-49.0,-30.75
51,-49.0,-30.25
52,-49.0,-30.0
53,-49.0,3.5
54,-49.0,4.0
55,-48.75,-31.0
56,-48.75,-30.75
57,-48.75,-30.25
58,-48.75,-30.0
59,-48.75,-29.75
60,-48.75,-29.5
61,-48.75,3.0
62,-48.75,4.0
63,-48.5,-30.75
64,-48.5,-30.25
65,-48.5,-29.75
66,-48.5,-29.5
67,-48.5,-29.25
68,-48.5,-29.0
69,-48.5,3.25
70,-48.5,3.75
71,-48.5,4.0
72,-48.25,-29.5
73,-48.25,-28.75
74,-48.25,2.75
75,-48.25,3.25
76,-48.25,3.5
77,-48.25,3.75
78,-48.0,-30.5
79,-48.0,-28.5
80,-48.0,-28.25
81,-48.0,3.25
82,-47.75,-30.5
83,-47.75,-30.25
84,-47.75,-28.5
85,-47.75,-28.25
86,-47.75,-28.0
87,-47.75,-27.75
88,-47.75,-27.5
89,-47.75,-27.25
90,-47.75,2.5
91,-47.75,2.75
92,-47.75,3.0
93,-47.5,-29.5
94,-47.5,-29.25
95,-47.5,-29.0
96,-47.5,-28.5
97,-47.5,-28.25
98,-47.5,-28.0
99,-47.5,-27.75
100,-47.5,-27.5
101,-47.5,-27.25
102,-47.5,-26.75
103,-47.5,2.0
104,-47.5,2.5
105,-47.25,-29.25
106,-47.25,-29.0
107,-47.25,-28.5
108,-47.25,-28.25
109,-47.25,-28.0
110,-47.25,-27.75
111,-47.25,-27.5
112,-47.25,-26.5
113,-47.25,2.0
114,-47.0,-29.0
115,-47.0,-26.5
116,-47.0,-26.25
117,-47.0,-26.0
118,-47.0,1.75
119,-46.75,-28.75
120,-46.75,-28.5
121,-46.75,-27.75
122,-46.75,-27.5
123,-46.75,-26.5
124,-46.75,-26.0
125,-46.75,-25.75
126,-46.75,1.5
127,-46.5,-28.5
128,-46.5,-28.25
129,-46.5,-28.0
130,-46.5,-27.75
131,-46.5,-27.5
132,-46.5,-27.25
133,-46.5,-26.5
134,-46.5,-26.25
135,-46.5,-25.75
136,-46.5,1.25
137,-46.25,-28.25
138,-46.25,-28.0
139,-46.25,-27.75
140,-46.25,-27.5
141,-46.25,-27.25
142,-46.25,-26.25
143,-46.25,-26.0
144,-46.25,-25.75
145,-46.25,-25.5
146,-46.0,-28.0
147,-46.0,-27.75
148,-46.0,-27.5
149,-46.0,-27.25
150,-46.0,-27.0
151,-46.0,-26.25
152,-46.0,-26.0
153,-46.0,-25.75
154,-46.0,-25.5
155,-46.0,-25.25
156,-45.75,-27.75
157,-45.75,-27.5
158,-45.75,-27.25
159,-45.75,-27.0
160,-45.75,-26.75
161,-45.75,-26.5
162,-45.75,-25.75
163,-45.75,-25.5
164,-45.75,-25.25
165,-45.75,0.75
166,-45.75,1.0
167,-45.5,-27.5
168,-45.5,-27.25
169,-45.5,-27.0
170,-45.5,-26.75
171,-45.5,-26.5
172,-45.5,-26.25
173,-45.5,-25.25
174,-45.25,-27.25
175,-45.25,-27.0
176,-45.25,-26.75
177,-45.25,-26.5
178,-45.25,-26.25
179,-45.25,-26.0
180,-45.0,-27.0
181,-45.0,-26.75
182,-45.0,-26.5
183,-45.0,-26.25
184,-45.0,-26.0
185,-45.0,-25.75
186,-45.0,-24.75
187,-45.0,-24.5
188,-44.75,-26.75
189,-44.75,-26.5
190,-44.75,-26.25
191,-44.75,-26.0
192,-44.75,-25.75
193,-44.75,-25.5
194,-44.75,-24.5
195,-44.75,-24.25
196,-44.5,-26.5
197,-44.5,-26.25
198,-44.5,-26.0
199,-44.5,-25.75
200,-44.5,-25.5
201,-44.5,-25.25
202,-44.5,-25.0
203,-44.5,-24.25
204,-44.5,-24.0
205,-44.25,-26.0
206,-44.25,-25.75
207,-44.25,-25.5
208,-44.25,-25.25
209,-44.25,-25.0
210,-44.25,-24.25
211,-44.25,-24.0
212,-44.25,0.0
213,-44.0,-25.75
214,-44.0,-25.5
215,-44.0,-25.25
216,-44.0,-25.0
217,-44.0,-24.75
218,-44.0,-24.25
219,-44.0,-23.75
220,-44.0,-0.25
221,-43.75,-25.5
222,-43.75,-25.25
223,-43.75,-25.0
224,-43.75,-24.75
225,-43.75,-24.25
226,-43.75,-23.75
227,-43.75,-0.5
228,-43.75,-0.25
229,-43.5,-25.25
230,-43.5,-25.0
231,-43.5,-24.75
232,-43.5,-24.5
233,-43.5,-23.75
234,-43.5,-23.5
235,-43.5,-0.75
236,-43.5,-0.5
237,-43.25,-25.0
238,-43.25,-24.75
239,-43.25,-24.5
240,-43.25,-23.75
241,-43.25,-23.5
242,-43.25,-1.5
243,-43.25,-1.25
244,-43.25,-1.0
245,-43.25,-0.75
246,-43.25,-0.5
247,-43.0,-24.75
248,-43.0,-24.5
249,-43.0,-23.75
250,-43.0,-1.5
251,-43.0,-1.25
252,-43.0,-1.0
253,-43.0,-0.75
254,-42.75,-24.5
255,-42.75,-24.25
256,-42.75,-23.75
257,-42.75,-1.5
258,-42.75,-1.25
259,-42.75,-1.0
260,-42.75,-0.75
261,-42.5,-24.25
262,-42.5,-23.75
263,-42.5,-23.25
264,-42.5,-2.0
265,-42.5,-1.5
266,-42.5,-1.25
267,-42.5,-1.0
268,-42.25,-2.0
269,-42.25,-1.75
270,-42.25,-1.5
271,-42.25,-1.25
272,-42.25,-1.0
273,-42.0,-1.75
274,-42.0,-1.5
275,-42.0,-1.25
276,-41.75,-23.75
277,-41.75,-2.0
278,-41.75,-1.75
279,-41.75,-1.5
280,-41.75,-1.25
281,-41.5,-23.75
282,-41.5,-23.5
283,-41.5,-2.0
284,-41.5,-1.75
285,-41.5,-1.5
286,-41.25,-23.5
287,-41.25,-23.25
288,-41.25,-2.0
289,-41.25,-1.75
290,-41.25,-1.5
291,-41.0,-23.25
292,-41.0,-23.0
293,-41.0,-1.75
294,-40.75,-22.5
295,-40.75,-2.0
296,-40.5,-22.25
297,-40.5,-2.0
298,-40.25,-22.0
299,-40.25,-21.25
300,-40.0,-22.25
301,-40.0,-22.0
302,-40.0,-21.75
303,-40.0,-21.5
304,-40.0,-21.25
305,-39.75,-21.25
