,lon,lat
0,-51.25,4.5
1,-51.25,4.25
2,-51.0,4.25
3,-51.0,4.0
4,-50.75,4.0
5,-50.75,3.75
6,-50.25,3.25
7,-50.0,3.0
8,-49.75,2.75
9,-49.5,2.75
10,-49.5,2.5
11,-49.25,2.5
12,-50.25,2.0
13,-50.0,2.0
14,-49.75,2.0
15,-49.5,2.0
16,-49.25,2.0
17,-48.75,2.0
18,-50.0,1.75
19,-49.75,1.75
20,-49.5,1.75
21,-49.75,1.5
22,-49.75,1.25
23,-48.25,1.0
24,-47.75,0.25
25,-47.75,-0.25
26,-47.5,-0.25
27,-47.0,-0.25
28,-48.25,-0.5
29,-48.0,-0.5
30,-46.75,-0.5
31,-46.75,-0.75
32,-46.0,-0.75
33,-45.25,-1.0
34,-45.5,-1.25
35,-45.25,-1.25
36,-45.0,-1.25
37,-44.25,-1.25
38,-44.5,-1.5
39,-44.25,-2.25
40,-43.75,-2.25
41,-43.5,-2.25
42,-43.0,-2.25
43,-42.75,-2.25
44,-43.0,-2.5
45,-42.25,-2.5
46,-41.75,-2.5
47,-41.25,-2.5
48,-41.0,-2.5
49,-40.25,-2.5
50,-42.25,-2.75
51,-40.75,-2.75
52,-40.5,-2.75
53,-40.25,-2.75
54,-40.0,-2.75
55,-39.75,-2.75
56,-39.75,-3.0
57,-39.25,-3.25
58,-38.5,-3.75
59,-38.25,-3.75
60,-38.25,-4.0
61,-37.5,-4.25
62,-37.75,-4.5
63,-37.25,-4.5
64,-37.0,-4.75
65,-36.75,-4.75
66,-36.5,-5.0
67,-36.25,-5.0
68,-36.0,-5.0
69,-35.75,-5.0
70,-35.5,-5.0
71,-35.25,-5.25
72,-35.0,-6.0
73,-35.0,-6.5
74,-34.75,-7.0
75,-34.75,-7.25
76,-34.75,-7.5
77,-34.75,-7.75
78,-35.5,-9.5
79,-36.25,-10.5
80,-36.75,-10.75
81,-36.5,-10.75
82,-36.25,-10.75
83,-36.75,-11.0
84,-36.5,-11.0
85,-37.0,-11.25
86,-36.75,-11.25
87,-36.5,-11.25
88,-37.25,-11.5
89,-37.0,-11.5
90,-36.75,-11.5
91,-36.5,-11.5
92,-37.5,-11.75
93,-37.25,-11.75
94,-37.0,-11.75
95,-36.75,-11.75
96,-37.5,-12.0
97,-37.25,-12.0
98,-37.0,-12.0
99,-36.75,-12.0
100,-37.5,-12.25
101,-37.25,-12.25
102,-37.0,-12.25
103,-36.75,-12.25
104,-37.75,-12.5
105,-37.5,-12.5
106,-37.25,-12.5
107,-37.0,-12.5
108,-36.75,-12.5
109,-38.25,-12.75
110,-38.0,-12.75
111,-37.75,-12.75
112,-37.5,-12.75
113,-37.25,-12.75
114,-37.0,-12.75
115,-38.5,-13.0
116,-38.25,-13.0
117,-38.0,-13.0
118,-37.75,-13.0
119,-37.5,-13.0
120,-37.25,-13.0
121,-37.0,-13.0
122,-38.75,-13.25
123,-38.5,-13.25
124,-38.25,-13.25
125,-38.0,-13.25
126,-37.75,-13.25
127,-37.5,-13.25
128,-37.25,-13.25
129,-37.0,-13.25
130,-38.75,-13.5
131,-38.5,-13.5
132,-38.25,-13.5
133,-38.0,-13.5
134,-37.75,-13.5
135,-37.5,-13.5
136,-37.25,-13.5
137,-38.75,-13.75
138,-38.5,-13.75
139,-38.25,-13.75
140,-38.0,-13.75
141,-37.75,-13.75
142,-37.5,-13.75
143,-37.25,-13.75
144,-39.0,-14.0
145,-38.75,-14.0
146,-38.5,-14.0
147,-38.25,-14.0
148,-38.0,-14.0
149,-37.75,-14.0
150,-37.5,-14.0
151,-37.25,-14.0
152,-38.75,-14.25
153,-38.5,-14.25
154,-38.25,-14.25
155,-38.0,-14.25
156,-37.75,-14.25
157,-37.5,-14.25
158,-39.0,-14.5
159,-38.75,-14.5
160,-38.5,-14.5
161,-38.25,-14.5
162,-38.0,-14.5
163,-37.75,-14.5
164,-37.5,-14.5
165,-38.75,-14.75
166,-38.5,-14.75
167,-38.25,-14.75
168,-38.0,-14.75
169,-37.75,-14.75
170,-37.5,-14.75
171,-38.75,-15.0
172,-38.5,-15.0
173,-38.25,-15.0
174,-38.0,-15.0
175,-37.75,-15.0
176,-38.75,-15.25
177,-38.5,-15.25
178,-38.25,-15.25
179,-38.0,-15.25
180,-37.75,-15.25
181,-38.75,-15.5
182,-38.5,-15.5
183,-38.25,-15.5
184,-38.0,-15.5
185,-37.75,-15.5
186,-38.75,-15.75
187,-38.5,-15.75
188,-38.25,-15.75
189,-38.0,-15.75
190,-37.75,-15.75
191,-38.75,-16.0
192,-38.5,-16.0
193,-38.25,-16.0
194,-38.0,-16.0
195,-39.0,-16.25
196,-38.75,-16.25
197,-38.5,-16.25
198,-38.25,-16.25
199,-38.0,-16.25
200,-38.75,-16.5
201,-38.5,-16.5
202,-38.25,-16.5
203,-38.0,-16.5
204,-38.75,-16.75
205,-38.5,-16.75
206,-38.25,-16.75
207,-39.0,-17.0
208,-38.75,-17.0
209,-38.5,-17.0
210,-38.25,-17.0
211,-38.75,-17.25
212,-38.5,-17.25
213,-38.25,-17.25
214,-39.0,-17.5
215,-38.75,-17.5
216,-38.5,-17.5
217,-39.25,-18.0
218,-39.0,-18.0
219,-38.75,-18.0
220,-39.5,-18.25
221,-39.25,-18.25
222,-39.0,-18.25
223,-39.25,-18.5
224,-39.75,-19.25
225,-40.0,-19.75
226,-40.75,-21.0
227,-40.5,-21.0
228,-40.75,-21.25
229,-41.0,-21.75
230,-41.5,-22.25
231,-41.25,-22.25
232,-41.75,-22.5
233,-43.0,-23.0
234,-45.0,-23.5
235,-46.25,-24.0
236,-46.75,-24.25
237,-47.5,-24.75
238,-47.5,-25.0
239,-47.25,-25.0
240,-48.0,-25.25
241,-47.5,-25.25
242,-48.5,-25.5
243,-47.75,-25.5
244,-47.5,-25.5
245,-48.0,-25.75
246,-47.75,-25.75
247,-48.25,-26.0
248,-48.0,-26.0
249,-48.25,-26.25
250,-48.0,-26.25
251,-48.5,-26.5
252,-48.25,-26.5
253,-48.5,-27.0
254,-48.5,-27.75
255,-49.0,-28.75
256,-49.75,-29.5
257,-50.25,-30.5
